Exposure_Source_Cat,Keyword,Definition,Kind,Status
Active_ingredient_in_products,active_ingredient,active ingredients in a product,Modifiers,0
Human_food_from_animals,animal_products,"Meat, poultry, fish and eggs (includes honey)",Foods & Agriculture,0
Crops_and_animal_feed,animal_feed,"Includes hay, alfalfa hay, and pastures/rangeland",Foods & Agriculture,0
Crops_and_animal_feed,cotton,"of or related to the growing of cotton, or processed cotton used as a textile for consumer goods",Foods & Agriculture,0
Crops_and_animal_feed,general_crops,"Misc. crops, including sunflowers",Foods & Agriculture,0
Air_near_source,air,air - media specific to the chemical presence,Media,0
Artificial_liquids,artificial_saliva,artificial saliva - media specific to the chemical presence,Media,0
Artificial_liquids,artificial_sweat,artificial sweat - media specific to the chemical presence,Media,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies,general arts and crafts or office supplies which can not be classified into a more refined category,PUC - formulation,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies - body paint,"products placed on the skin for decorative purposes (body paints, markers, glitters, play cosmetics, Halloween cosmetics, and henna)",PUC - formulation,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies - body paint - tattoo ink,inks used for permanent tattoos,PUC - formulation,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies - children's art and toys,General children's art supplies and toys which can not be classified into a more refined category,PUC - formulation,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies - children's art and toys - crayons,wax crayons for coloring or illustration,PUC - formulation,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies - children's art and toys - modeling clay,soft modeling compounds,PUC - formulation,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies - fabric treatment and dye,Fabric treatments or dyes which can not be assigned to a more refined category,PUC - formulation,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies - general arts and crafts supplies,arts and crafts supplies which can not be assigned to a more refined category,PUC - formulation,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies - general arts and crafts supplies - arts and crafts adhesive,"glue sticks, glitter glues, fabric glues, craft glue, spray mounts, stencil sprays, and other adhesives used for primarily craft purposes",PUC - formulation,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies - general arts and crafts supplies - arts and crafts paint,"paints (including acrylic and enamel), colorants (materials that color solid objects), and pigments primarily used for craft purposes",PUC - formulation,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies - general arts and crafts supplies - flocking,"products used to create textured or fiber covered surfaces, including artificial snow",PUC - formulation,0
Arts_and_crafts_or_office_supplies,Arts and crafts/Office supplies - home office - pens and markers,writing utensils containing liquid or gel ink,PUC - formulation,0
Home_maintenance_ and_building_materials,Construction and building materials,"Materials used for construction (e.g. flooring, tile, sinks, bathtubs, mirrors, wall materials/drywall, wall-to-wall carpets, insulation, playground surfaces); includes  semi-permanent fixtures such as faucets and light fixtures",PUC - article,0
Home_maintenance_ and_building_materials,Home maintenance - adhesives and adhesive removers - multipurpose adhesive,"general purpose repair adhesives including all purpose glues, super glue, and epoxies; not including wood glues",PUC - formulation,0
Home_maintenance_ and_building_materials,Home maintenance - adhesives and adhesive removers - wood adhesive,adhesives specifically designated for gluing wooden surfaces together,PUC - formulation,0
Home_maintenance_ and_building_materials,Home maintenance - caulk/sealant,liquid or gels designed to seal cracks or fill cracks and depressions on hard surfaces,PUC - formulation,0
Home_maintenance_ and_building_materials,Home maintenance - plumbing,"miscellaneous plumbing repair products (putties, tapes, cements)",PUC - formulation,0
Chemicals_that_emit_or_offgas,emissions,release of a chemical from a source to an environmental medium; includes off-gassing,General use,0
Children_products_and_toys,Toys and children's products,"Toys and articles intended for use by children (not including formulations) (e.g. stuffed toys, blankets, games, baby bottles and pacifiers, dolls)",PUC - article,0
Children_products_and_toys,children,"pertaining to, or intended for use specifically by children",Subpopulation,0
Household_care_and_cleaning_products,Cleaning products and household care,Cleaning and household care products that can not be placed in a more refined category,PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - air freshener,"home air fresheners, including candles with a fragrance",PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - carpet and floor,Household carpet and floor cleaning products that can not be assigned to a more refined category,PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - carpet and floor - carpet cleaner,"carpet cleaning products that may be used directly (or require dilution), includes solutions that may be used by hand or in mechanical carpet cleaners",PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - carpet and floor - floor polish,products that impart a shine to solid floors,PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - dishwasher and dishes,"cleaning products used in the dishwasher or on dishes, which do not fit into a more refined category",PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - dishwasher and dishes - automatic dishwashing additive,"products used in automatic dishwashers other than detergents (rinse aids, spot removers, and dishwasher cleaners/scale or rust removers)",PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - general household cleaning,"cleaning products for general household cleaning, which do not fit into a more refined category",PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - general household cleaning - surface cleaner,"products used to clean hard surfaces in the home, including kitchen specific hard surface cleaners",PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - laundry and fabric treatment,Cleaning or care products for laundry and fabric treatment which do not fit into a more refined category,PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - laundry and fabric treatment - fabric deodorizer,fabric deodorizers,PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - laundry and fabric treatment - fabric softener,products used to improve tactile properties of fabrics that are added to the rinse water of clothes washers (excluding dryer sheets),PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - laundry and fabric treatment - laundry stain remover,stain removers or laundry pre-treatment products,PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - lime remover,"products used to remove lime or scale from hard surfaces, excludes dishwasher related products",PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - oven - oven cleaner,"products used to clean grills, ovens, or range cooktops",PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - shoes,Products related to the care of footwear which do not fit into a more refined category,PUC - formulation,0
Household_care_and_cleaning_products,Cleaning products and household care - shoes - shoe polish or protectant,"products applied to footwear to color, polish, clean, or add a protective surface",PUC - formulation,0
Bottled_and_finished_water_for_consumption,drinking_water,"water intended for drinking, or related to drinking water; includes bottled water, finished water from drinking water treatment plants, and untreated water that has been denoted as a drinking source",Media,0
Electronics,Cons electronics mech appliances and machinery,"Including small and large consumer electronics appliances (e.g. refrigerator, washing machine, vacuum cleaner, computer, phone, smoke detector, electric tools, lamps); includes small electronics with direct personal contact such as massagers; excludes electronics specifically intended for use by children; excludes electronics with direct food contact (e.g. electric blender)",PUC - article,0
