INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
INPUT,NO_MATCH,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DTXSID5035294,DSSTox_Substance_Id,DTXSID5035294,(E)-Dodec-8-enyl acetate,5.20057e-11,227.539,5.71113,273.08,7.7354e-06,1.42269,7.25482,1940.76,5.38944,-18.3957,0.00272623,1.09222e-05
DTXSID5035296,DSSTox_Substance_Id,DTXSID5035296,"7,11-Hexadecadien-1-ol, acetate (mixture)",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID5035589,DSSTox_Substance_Id,DTXSID5035589,Didecylmethyl(3-(trimethoxysilyl)propyl)ammonium chloride,1.13387e-11,52.6622,146.766,431.758,6.96239e-07,7.07058,11.7029,10065.2,3.70439,102.438,4.58508e-07,1.65968e-06
DTXSID5035616,DSSTox_Substance_Id,DTXSID5035616,Sodium 2-nitrophenolate,9.01012e-13,21.8159,4.08089,216.081,1.27879e-05,0.248302,5.70368,71.67,0.68154,53.4941,0.111661,0.0179178
DTXSID5035741,DSSTox_Substance_Id,DTXSID5035741,"8-Dodecen-1-ol, (8Z)-",6.35603e-11,76.1173,4.53704,247.742,1.97514e-05,0.37829,8.5054,1339.87,4.35037,12.3081,0.000608549,8.90376e-05
DTXSID5037498,DSSTox_Substance_Id,DTXSID5037498,Azinphos-ethyl,1.39248e-11,15.7165,95.7184,335.077,1.83034e-08,0.709963,10.4551,377.881,3.39808,53.0053,2.39301e-06,1.98074e-05
DTXSID5037521,DSSTox_Substance_Id,DTXSID5037521,Demeton-S-methyl,3.7201e-11,2.76603,3.94115,270.011,3.02384e-07,0.183295,8.41153,30.8865,1.02094,-12.6645,0.000299042,0.00507177
DTXSID5037527,DSSTox_Substance_Id,DTXSID5037527,Diethofencarb,1.6457e-11,19.8465,5.12309,301.893,3.22599e-10,0.497886,10.3652,262.561,2.91094,100.301,6.24717e-05,0.000101315
DTXSID5037579,DSSTox_Substance_Id,DTXSID5037579,Nitrothal-isopropyl,1.09069e-11,16.4349,4.99832,314.886,1.93618e-08,0.470085,8.20835,325.358,2.75639,65.0326,7.71789e-07,9.17638e-06
DTXSID5040334,DSSTox_Substance_Id,DTXSID5040334,"2,4-Dichlorophenoxyacetic acid dodecyl/ tetradecyl amine salt",-,-,-,-,-,-,-,-,-,-,-,-
DTXSID5040752,DSSTox_Substance_Id,DTXSID5040752,Tetraacetylethylenediamine,7.62137e-12,1.84664,3.67938,300.548,1.81511e-09,0.48256,9.40414,33.7388,0.0770863,34.8094,1.04942e-07,0.0599975
DTXSID5041019,DSSTox_Substance_Id,DTXSID5041019,Dodemorph,1.64841e-11,580.443,18.4843,320.849,1.071e-05,30.1117,8.98594,1645.74,5.5996,70.8619,3.60262e-06,0.000880187
DTXSID5041144,DSSTox_Substance_Id,DTXSID5041144,Triptolide,-,-,65.5247,357.143,-,-,10.5181,-,-,75.3639,3.64489e-09,-
DTXSID5041194,DSSTox_Substance_Id,DTXSID5041194,(Z)-9-Hexadecenal,9.1842e-11,1431.25,5.02524,250.249,9.96938e-06,8.74063,8.41234,2145.22,6.72771,27.5094,0.0056128,1.22181e-06
DTXSID5041354,DSSTox_Substance_Id,DTXSID5041354,"2,4-DB 2-butoxyethyl ester",1.9644e-11,289.165,5.15487,325.374,5.52829e-07,1.18806,9.94063,502.899,5.38852,30.5723,3.28993e-06,8.35351e-07
