DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID40974175,5863-51-4,Acid green 22,4,0.8,Acid green 22,5863-51-4,DTXSID4022367,Estrone,53-16-7,0.6713286713286714,0.020441878422450543,0.8009259259259259,1.6009259259259259
DTXSID1036541,145-13-1,Pregnenolone,3,0.6,Pregnenolone,145-13-1,DTXSID3022370,Progesterone,57-83-0,0.9720279720279722,0,1,1.6
DTXSID00873918,3536-49-0,Acid Blue 3,4,0.8,Acid Blue 3,3536-49-0,DTXSID4022367,Estrone,53-16-7,0.6293706293706295,0.032394749720125744,0.773148148148148,1.5731481481481482
DTXSID80192119,38866-20-5,"4-(3-((9,10-Dihydro-4-hydroxy-9,10-dioxo-1-anthracenyl)amino)prop- yl)-4-methyl morpholinium methyl sulfate",4,0.8,"4-(3-((9,10-Dihydro-4-hydroxy-9,10-dioxo-1-anthracenyl)amino)prop- yl)-4-methyl morpholinium methyl sulfate",38866-20-5,DTXSID0020573,17beta-Estradiol,50-28-2,0.6293706293706295,0.032394749720125744,0.773148148148148,1.5731481481481482
DTXSID2021236,2871-01-4,HC Red 3,5,1,HC Red 3,2871-01-4,DTXSID0020573,17beta-Estradiol,50-28-2,0.03496503496503497,0.9211840827919622,0.3796296296296296,1.3796296296296295
DTXSID90179613,24905-87-1,2-(4-Amino-3-nitroanilino)ethanol,5,1,2-(4-Amino-3-nitroanilino)ethanol,24905-87-1,DTXSID0020573,17beta-Estradiol,50-28-2,0.03496503496503497,0.9211840827919622,0.3796296296296296,1.3796296296296295
DTXSID9044532,130-20-1,D&C Blue No. 9,2,0.4,D&C Blue No. 9,130-20-1,DTXSID0020573,17beta-Estradiol,50-28-2,0.8461538461538463,9.695401464449504e-4,0.9166666666666665,1.3166666666666664
DTXSID60874042,68123-13-7,Basic Blue 99,4,0.8,Basic Blue 99,68123-13-7,DTXSID4022367,Estrone,53-16-7,0.2377622377622378,0.4571022068090017,0.5138888888888888,1.3138888888888889
DTXSID90885262,24292-52-2,"2-Propen-1-one, 1-[4-[[6-O-(6-deoxy-.alpha.-L-mannopyranosyl)-.beta.-D-glucopyranosyl]oxy]-2-hydroxy-6-methoxyphenyl]-3-(3-hydroxy-4-methoxyphenyl)-, (2E)-",3,0.6,"2-Propen-1-one, 1-[4-[[6-O-(6-deoxy-.alpha.-L-mannopyranosyl)-.beta.-D-glucopyranosyl]oxy]-2-hydroxy-6-methoxyphenyl]-3-(3-hydroxy-4-methoxyphenyl)-, (2E)-",24292-52-2,DTXSID4022367,Estrone,53-16-7,0.4685314685314686,0.12747265257630852,0.6666666666666665,1.2666666666666666
DTXSID50868556,80062-31-3,2-Nitro-5-glyceryl methylaniline,4,0.8,2-Nitro-5-glyceryl methylaniline,80062-31-3,DTXSID0020573,17beta-Estradiol,50-28-2,0.15384615384615385,0.6351399553775863,0.45833333333333326,1.2583333333333333
DTXSID50868556,80062-31-3,2-Nitro-5-glyceryl methylaniline,4,0.8,2-Nitro-5-glyceryl methylaniline,80062-31-3,DTXSID4022367,Estrone,53-16-7,0.15384615384615385,0.6351399553775863,0.45833333333333326,1.2583333333333333
DTXSID60146352,104226-19-9,HC Violet no. 2,4,0.8,HC Violet no. 2,104226-19-9,DTXSID4022367,Estrone,53-16-7,0.06993006993006994,0.8344471452374791,0.40277777777777773,1.2027777777777777
DTXSID30235065,85765-48-6,HC Orange no. 2,4,0.8,HC Orange no. 2,85765-48-6,DTXSID0020573,17beta-Estradiol,50-28-2,0.03496503496503497,0.9211840827919622,0.3796296296296296,1.1796296296296296
DTXSID00215536,65235-31-6,4-((2-Hydroxyethyl)amino)-3-nitrophenol,4,0.8,4-((2-Hydroxyethyl)amino)-3-nitrophenol,65235-31-6,DTXSID0020573,17beta-Estradiol,50-28-2,0,1,0.35648148148148145,1.1564814814814814
DTXSID3021273,28302-36-5,Sodium copper chlorophyllin,2,0.4,Sodium copper chlorophyllin,28302-36-5,DTXSID4022367,Estrone,53-16-7,0.5594405594405595,0.06274871992683886,0.7268518518518516,1.1268518518518515
DTXSID40235536,86419-69-4,HC Yellow no. 9,4,0.8,HC Yellow no. 9,86419-69-4,DTXSID0020573,17beta-Estradiol,50-28-2,-0.06993006993006994,0.8344471452374791,0.3101851851851852,1.1101851851851852
DTXSID40896984,187393-00-6,"2,2'-(6-(4-Methoxyphenyl)-1,3,5-triazine-2,4-diyl)bis(5-((2-ethylhexyl)oxy)phenol)",2,0.4,"2,2'-(6-(4-Methoxyphenyl)-1,3,5-triazine-2,4-diyl)bis(5-((2-ethylhexyl)oxy)phenol)",187393-00-6,DTXSID4022367,Estrone,53-16-7,0.48251748251748255,0.11537360509486391,0.6759259259259258,1.075925925925926
DTXSID9020669,471-53-4,Glycyrrhetinic acid,1,0.2,Glycyrrhetinic acid,471-53-4,DTXSID4022367,Estrone,53-16-7,0.7062937062937064,0.01328611352164718,0.8240740740740741,1.0240740740740741
DTXSID6020193,33229-34-4,HC Blue 2,4,0.8,HC Blue 2,33229-34-4,DTXSID3022370,Progesterone,57-83-0,-0.2097902097902098,0.5135125134125788,0.2175925925925926,1.0175925925925926
DTXSID501015077,68797-35-3,"alpha-D-Glucopyranosiduronic acid, (3beta,20beta)-20-carboxy-11-oxo-30-norolean-12-en-3-yl 2-O-beta-D-glucopyranuronosyl-, potassium salt (1:2)",1,0.2,"alpha-D-Glucopyranosiduronic acid, (3beta,20beta)-20-carboxy-11-oxo-30-norolean-12-en-3-yl 2-O-beta-D-glucopyranuronosyl-, potassium salt (1:2)",68797-35-3,DTXSID4022367,Estrone,53-16-7,0.6713286713286714,0.020441878422450543,0.8009259259259259,1.000925925925926
DTXSID2049393,101-85-9,alpha-Amylcinnamyl alcohol,3,0.6,alpha-Amylcinnamyl alcohol,101-85-9,DTXSID3022370,Progesterone,57-83-0,0.013986013986013988,0.9736939039560878,0.3657407407407407,0.9657407407407407
DTXSID7024904,596-03-2,"4',5'-Dibromo-3',6'-dihydroxyspiro(isobenzofuran-1(3H),9'-(9H)xanthene)-3-one",0,0,"4',5'-Dibromo-3',6'-dihydroxyspiro(isobenzofuran-1(3H),9'-(9H)xanthene)-3-one",596-03-2,DTXSID0020573,17beta-Estradiol,50-28-2,0.8741258741258742,3.088607930535857e-4,0.935185185185185,0.935185185185185
DTXSID7029879,65277-42-1,Ketoconazole,1,0.2,Ketoconazole,65277-42-1,DTXSID3022370,Progesterone,57-83-0,0.5664335664335665,0.059034148215904074,0.7314814814814814,0.9314814814814814
DTXSID0044238,38577-97-8,4'5'-Diiodofluorescein,0,0,4'5'-Diiodofluorescein,38577-97-8,DTXSID0020573,17beta-Estradiol,50-28-2,0.8251748251748252,0.0017185956729469844,0.9027777777777777,0.9027777777777777
DTXSID9021342,97-18-7,Bithionol,0,0,Bithionol,97-18-7,DTXSID0020573,17beta-Estradiol,50-28-2,0.8111888111888113,0.002368930397823616,0.8935185185185184,0.8935185185185184
DTXSID0020575,140-67-0,Estragole,2,0.4,Estragole,140-67-0,DTXSID3022370,Progesterone,57-83-0,0.18881118881118883,0.557827775088338,0.48148148148148145,0.8814814814814815
DTXSID1064403,6535-46-2,C.I. Pigment Red 112,0,0,C.I. Pigment Red 112,6535-46-2,DTXSID0020573,17beta-Estradiol,50-28-2,0.7902097902097903,0.003616814382392932,0.8796296296296294,0.8796296296296294
DTXSID2046703,103597-45-1,Bisoctrizole,0,0,Bisoctrizole,103597-45-1,DTXSID4022367,Estrone,53-16-7,0.7622377622377623,0.005897475990334394,0.861111111111111,0.861111111111111
DTXSID2046703,103597-45-1,Bisoctrizole,0,0,Bisoctrizole,103597-45-1,DTXSID0020573,17beta-Estradiol,50-28-2,0.7622377622377623,0.005897475990334394,0.861111111111111,0.861111111111111
DTXSID0022727,514-78-3,Canthaxanthin,2,0.4,Canthaxanthin,514-78-3,DTXSID4022367,Estrone,53-16-7,0.1048951048951049,0.7494790426721833,0.4259259259259259,0.825925925925926
