DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID5037494,6190-65-4,Deethylatrazine,7,1,Deethylatrazine,6190-65-4,DTXSID9020112,Atrazine,1912-24-9,0.8881118881118882,9.165861732816959e-5,0.8861788617886179,1.886178861788618
DTXSID0037495,1007-28-9,Deisopropylatrazine,7,1,Deisopropylatrazine,1007-28-9,DTXSID9020112,Atrazine,1912-24-9,0.8671328671328673,4.4330220947201744e-4,0.861788617886179,1.8617886178861789
DTXSID1023990,21725-46-2,Cyanazine,6,0.8571428571428571,Cyanazine,21725-46-2,DTXSID0032520,Azoxystrobin,131860-33-8,0.8321678321678323,0.0014408725736803438,0.821138211382114,1.6782810685249712
DTXSID1037806,3397-62-4,"6-Chloro-1,3,5-triazine-2,4-diamine",4,0.5714285714285714,"6-Chloro-1,3,5-triazine-2,4-diamine",3397-62-4,DTXSID4021268,Simazine,122-34-9,0.9790209790209791,0,0.9918699186991868,1.5632984901277582
DTXSID30886374,59897-93-7,"Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl-, methyl ester, (1R,3R)-rel-",4,0.5714285714285714,"Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl-, methyl ester, (1R,3R)-rel-",59897-93-7,DTXSID3020413,"1,2-Dibromo-3-chloropropane",96-12-8,0.9650349650349651,0,0.975609756097561,1.5470383275261324
DTXSID90886375,59897-94-8,"Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl-, methyl ester, (1R,3S)-rel-",4,0.5714285714285714,"Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl-, methyl ester, (1R,3S)-rel-",59897-94-8,DTXSID3020413,"1,2-Dibromo-3-chloropropane",96-12-8,0.9650349650349651,0,0.975609756097561,1.5470383275261324
DTXSID5024344,2303-17-5,Tri-allate,4,0.5714285714285714,Tri-allate,2303-17-5,DTXSID3020413,"1,2-Dibromo-3-chloropropane",96-12-8,0.8041958041958044,0.0027461353047330307,0.788617886178862,1.3600464576074334
DTXSID001017911,1115248-09-3,Desulfinylfipronil amide,2,0.2857142857142857,Desulfinylfipronil amide,1115248-09-3,DTXSID0020446,Diuron,330-54-1,0.9720279720279722,0,0.983739837398374,1.2694541231126597
DTXSID1024124,79277-27-3,Thifensulfuron methyl,2,0.2857142857142857,Thifensulfuron methyl,79277-27-3,DTXSID0024345,Triasulfuron,82097-50-5,0.9580419580419582,0,0.967479674796748,1.2531939605110338
DTXSID7027833,24549-06-2,2-Ethyl-6-methylaniline,2,0.2857142857142857,2-Ethyl-6-methylaniline,24549-06-2,DTXSID5020449,Dichlorvos,62-73-7,0.9510489510489512,0,0.959349593495935,1.2450638792102207
DTXSID50869644,120067-83-6,Fipronil sulfide,2,0.2857142857142857,Fipronil sulfide,120067-83-6,DTXSID0020446,Diuron,330-54-1,0.9440559440559443,0,0.951219512195122,1.2369337979094077
DTXSID50219963,6967-29-9,"2-Chloro-N-(2,6-diethylphenyl)acetamide",2,0.2857142857142857,"2-Chloro-N-(2,6-diethylphenyl)acetamide",6967-29-9,DTXSID0024345,Triasulfuron,82097-50-5,0.9300699300699302,0,0.934959349593496,1.2206736353077816
