DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID90889705,28983-56-4,Methyl Blue,5,0.7142857142857143,Methyl Blue,28983-56-4,DTXSID7021441,Benzyl Violet 4B,1694-09-3,0.9930069930069931,0,0.9921875000000001,1.7064732142857144
DTXSID2020189,3844-45-9,FD&C Blue No. 1,4,0.5714285714285714,FD&C Blue No. 1,3844-45-9,DTXSID7021441,Benzyl Violet 4B,1694-09-3,1,0,1,1.5714285714285714
DTXSID4034310,2650-18-2,C.I. Acid Blue 9,4,0.5714285714285714,C.I. Acid Blue 9,2650-18-2,DTXSID7021441,Benzyl Violet 4B,1694-09-3,1,0,1,1.5714285714285714
DTXSID601015325,15792-67-3,"C.I. Acid Blue 9, aluminum salt (3:2)",4,0.5714285714285714,"C.I. Acid Blue 9, aluminum salt (3:2)",15792-67-3,DTXSID7021441,Benzyl Violet 4B,1694-09-3,1,0,1,1.5714285714285714
DTXSID10925937,12768-78-4,"Sodium 4-{[4-(diethylamino)phenyl][4-(diethyliminio)cyclohexa-2,5-dien-1-ylidene]methyl}naphthalene-2,7-disulfonate",4,0.5714285714285714,"Sodium 4-{[4-(diethylamino)phenyl][4-(diethyliminio)cyclohexa-2,5-dien-1-ylidene]methyl}naphthalene-2,7-disulfonate",12768-78-4,DTXSID7021441,Benzyl Violet 4B,1694-09-3,0.9930069930069931,0,0.9921875000000001,1.5636160714285716
DTXSID3020673,2353-45-9,FD&C Green No. 3,4,0.5714285714285714,FD&C Green No. 3,2353-45-9,DTXSID7021441,Benzyl Violet 4B,1694-09-3,0.9930069930069931,0,0.9921875000000001,1.5636160714285716
DTXSID3026065,129-17-9,Sulfan blue,4,0.5714285714285714,Sulfan blue,129-17-9,DTXSID7021441,Benzyl Violet 4B,1694-09-3,0.9790209790209791,0,0.9765625,1.5479910714285714
DTXSID0029264,4404-43-7,C.I. Fluorescent brightening agent 28,7,1,C.I. Fluorescent brightening agent 28,4404-43-7,DTXSID1020069,2-Amino-5-azotoluene,97-56-3,0.5944055944055945,0.04575310008649374,0.5468750000000001,1.546875
DTXSID2027757,13863-31-5,"Disodium 4,4'-bis-(2-sulfostyryl)biphenyl",7,1,"Disodium 4,4'-bis-(2-sulfostyryl)biphenyl",13863-31-5,DTXSID1020069,2-Amino-5-azotoluene,97-56-3,0.5944055944055945,0.04575310008649374,0.5468750000000001,1.546875
DTXSID5038888,2390-60-5,Basic Blue 7,7,1,Basic Blue 7,2390-60-5,DTXSID7021441,Benzyl Violet 4B,1694-09-3,0.5454545454545455,0.07067890506141748,0.49218750000000006,1.4921875
DTXSID3051830,19125-99-6,Solvent Yellow 43,4,0.5714285714285714,Solvent Yellow 43,19125-99-6,DTXSID1020069,2-Amino-5-azotoluene,97-56-3,0.9230769230769232,0,0.9140625000000002,1.4854910714285716
