DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID8037594,26259-45-0,Secbumeton,6,0.8571428571428571,Secbumeton,26259-45-0,DTXSID1023869,Ametryn,834-12-8,1,0,1,1.8571428571428572
DTXSID90869542,111353-84-5,Ethametsulfuron,6,0.8571428571428571,Ethametsulfuron,111353-84-5,DTXSID9034868,Prosulfuron,94125-34-5,0.9930069930069931,0,0.9907407407407409,1.8478835978835981
DTXSID90869542,111353-84-5,Ethametsulfuron,6,0.8571428571428571,Ethametsulfuron,111353-84-5,DTXSID8024101,Tribenuron-methyl,101200-48-0,0.9930069930069931,0,0.9907407407407409,1.8478835978835981
DTXSID1022057,542-75-6,"1,3-Dichloropropene",6,0.8571428571428571,"1,3-Dichloropropene",542-75-6,DTXSID0020448,"1,2-Dichloropropane",78-87-5,0.9790209790209791,0,0.9722222222222223,1.8293650793650795
DTXSID1032305,10061-01-5,(Z)-Dichloropropene,6,0.8571428571428571,(Z)-Dichloropropene,10061-01-5,DTXSID0020448,"1,2-Dichloropropane",78-87-5,0.9790209790209791,0,0.9722222222222223,1.8293650793650795
DTXSID2040286,841-06-5,Methoprotryne,6,0.8571428571428571,Methoprotryne,841-06-5,DTXSID1023869,Ametryn,834-12-8,0.9720279720279722,0,0.9629629629629631,1.8201058201058202
DTXSID3024318,886-50-0,Terbutryn,6,0.8571428571428571,Terbutryn,886-50-0,DTXSID8034586,Etoxazole,153233-91-1,0.9720279720279722,0,0.9629629629629631,1.8201058201058202
DTXSID2042488,1912-26-1,Trietazine,6,0.8571428571428571,Trietazine,1912-26-1,DTXSID8034586,Etoxazole,153233-91-1,0.9510489510489512,0,0.9351851851851853,1.7923280423280423
DTXSID3032416,28159-98-0,Cybutryne,6,0.8571428571428571,Cybutryne,28159-98-0,DTXSID8034586,Etoxazole,153233-91-1,0.9510489510489512,0,0.9351851851851853,1.7923280423280423
DTXSID3032416,28159-98-0,Cybutryne,6,0.8571428571428571,Cybutryne,28159-98-0,DTXSID1023869,Ametryn,834-12-8,0.9510489510489512,0,0.9351851851851853,1.7923280423280423
